"","gene_id","p_value","p_value_adj_FDR"
"4040","COL6A6",0.004305,0.049942067046961
"6975","GHITM",0.00430555555555556,0.049942067046961
"5475","EIF4H",0.00432422222222222,0.049942067046961
"4730","DDX18",0.00434586666666667,0.049942067046961
"1605","BTBD16",0.004424,0.049942067046961
"13072","PCOTH",0.00443076923076923,0.049942067046961
"612","AMY2B",0.00444052631578947,0.049942067046961
"19365","VNN3",0.00444666666666667,0.049942067046961
"1623","BTG3",0.0044625974025974,0.049942067046961
"10813","METTL7B",0.00446908695652174,0.049942067046961
"20201","ZNF541",0.00451722222222222,0.049942067046961
"14689","RBM18",0.00452542372881356,0.049942067046961
"10076","LOC647121",0.0045675,0.049942067046961
"4411","CTXN1",0.00458763636363636,0.049942067046961
"3340","CD6",0.0046065,0.049942067046961
"7770","HIBCH",0.0046452,0.049942067046961
"3085","CCDC152",0.004646,0.049942067046961
"18674","TRIML2",0.00464806666666667,0.049942067046961
"18136","TMEM129",0.004736,0.049942067046961
"7673","HDAC4",0.00474375,0.049942067046961
"9338","KTN1",0.00474545454545455,0.049942067046961
"12809","P2RY8",0.0048638,0.049942067046961
"19029","UBE2L3",0.00491066666666667,0.049942067046961
"8600","ITGA3",0.00491333333333333,0.049942067046961
"2842","CACNA2D3",0.00494241666666667,0.049942067046961
"17639","TARS",0.00495,0.049942067046961
"6605","FOXO4",0.0049775,0.049942067046961
"3344","CD79A",0.00498,0.049942067046961
"14639","RASGEF1B",0.00499768181818182,0.049942067046961
"13984","PRDM15",0.00508333333333333,0.049942067046961
"13116","PDE3B",0.00514518518518519,0.049942067046961
"3521","CEBPZ",0.00517021276595745,0.049942067046961
"2827","CABP7",0.00518357142857143,0.049942067046961
"8166","HUNK",0.00519142857142857,0.049942067046961
"15495","SBF1",0.00524571428571429,0.049942067046961
"19888","ZGLP1",0.00527741666666667,0.049942067046961
"7844","HIST1H4I",0.00528405405405405,0.049942067046961
"6192","FASTK",0.00528736,0.049942067046961
"17912","TGFBR3",0.00530833333333333,0.049942067046961
"14864","RGL2",0.00531304347826087,0.049942067046961
"7111","GNA14",0.00531818181818182,0.049942067046961
"7023","GJD3",0.005332,0.049942067046961
"13084","PCTP",0.00534888888888889,0.049942067046961
"9635","LOC100127888",0.00536307692307692,0.049942067046961
"18523","TPP1",0.0053724,0.049942067046961
"8515","IPO5",0.00544266666666667,0.049942067046961
"8462","INMT",0.00544782608695652,0.049942067046961
"4043","COL8A2",0.00547182352941177,0.049942067046961
"16089","SLC16A11",0.00547446808510638,0.049942067046961
"9166","KLRG1",0.00550421052631579,0.049942067046961
"6418","FKBP1AP1",0.00553194029850746,0.049942067046961
"266","ADAMTS10",0.0055327,0.049942067046961
"748","ANXA5",0.00555,0.049942067046961
"17164","SPRR4",0.00557446153846154,0.049942067046961
"11872","NKRF",0.00558042553191489,0.049942067046961
"14770","RDH11",0.00558380952380952,0.049942067046961
"11399","MYL2",0.005583875,0.049942067046961
"16112","SLC18A2",0.005628,0.049942067046961
"4591","D2HGDH",0.00564439024390244,0.049942067046961
"3842","CLEC3B",0.00568235294117647,0.049942067046961
"18503","TP73",0.005684,0.049942067046961
"16326","SLC44A4",0.00568733333333333,0.049942067046961
"9402","LAX1",0.00568794117647059,0.049942067046961
"13535","PLCXD1",0.00568927272727273,0.049942067046961
"7895","HLF",0.00569076923076923,0.049942067046961
"3627","CGNL1",0.00576721649484536,0.049942067046961
"4303","CSNK2A2",0.00578217391304348,0.049942067046961
"18213","TMEM194A",0.00578260869565217,0.049942067046961
"15733","SEPT1",0.00578441176470588,0.049942067046961
"1541","BOD1",0.005805,0.049942067046961
"13817","PPAT",0.00583318181818182,0.049942067046961
"13604","PLS3",0.00585,0.049942067046961
"3323","CD40LG",0.00590592592592593,0.049942067046961
"11333","MUM1L1",0.00591176470588235,0.049942067046961
"8728","KCNA3",0.00596372549019608,0.049942067046961
"203","ACTC1",0.00597958333333333,0.049942067046961
"10393","LYG1",0.00602329411764706,0.049942067046961
"4331","CSTF2",0.00605647058823529,0.049942067046961
"18481","TOR1A",0.00606,0.049942067046961
"6572","FOXD1",0.00607051724137931,0.049942067046961
"3825","CLEC10A",0.00607184615384615,0.049942067046961
"10296","LRRC55",0.0060775,0.049942067046961
"9619","LMOD2",0.006084,0.049942067046961
"20285","ZNF642",0.00608571428571429,0.049942067046961
"1136","ATG16L2",0.00608606557377049,0.049942067046961
"14037","PRKAR1B",0.006092125,0.049942067046961
"15843","SFRS12",0.00613573333333333,0.049942067046961
"10767","MEGF6",0.00613888888888889,0.049942067046961
"11296","MTMR9L",0.00616,0.049942067046961
"13561","PLEKHG1",0.00616,0.049942067046961
"13135","PDGFA",0.00616571428571429,0.049942067046961
"17423","STXBP1",0.00619086956521739,0.049942067046961
"20142","ZNF44",0.0062,0.049942067046961
"19696","YPEL3",0.0062776,0.049942067046961
"18974","TYK2",0.006288,0.049942067046961
"19314","VBP1",0.00629642857142857,0.049942067046961
"4737","DDX24",0.0063125,0.049942067046961
"3664","CHGB",0.00632333333333333,0.049942067046961
"7254","GPR113",0.00633966666666667,0.049942067046961
"3216","CCNA1",0.00635806451612903,0.049942067046961
"12127","NT5E",0.00636179104477612,0.049942067046961
"19853","ZFP2",0.00637090909090909,0.049942067046961
"15066","RNF208",0.00641333333333333,0.049942067046961
"14963","RINL",0.00642875,0.049942067046961
"17139","SPOCK2",0.00646941176470588,0.049942067046961
"13674","PNPLA6",0.00649932203389831,0.049942067046961
"5182","DRG1",0.00650047619047619,0.049942067046961
"20030","ZNF276",0.00650428571428572,0.049942067046961
"6651","FSCN1",0.0065075,0.049942067046961
"4408","CTTN",0.00651906976744186,0.049942067046961
"10046","LOC643008",0.006541,0.049942067046961
"11386","MYH1",0.0065596,0.049942067046961
"20441","ZNF91",0.00658064516129032,0.049942067046961
"6197","FAT4",0.006593875,0.049942067046961
"10246","LRPPRC",0.00662037037037037,0.049942067046961
"435","AHSA2",0.00664307692307692,0.049942067046961
"14593","RANBP1",0.0066659375,0.049942067046961
"3984","CNTNAP3",0.006699875,0.049942067046961
"12235","OAF",0.00670833333333333,0.049942067046961
"13723","POLR2C",0.00673325842696629,0.049942067046961
"20316","ZNF682",0.00673764705882353,0.049942067046961
"18472","TOP1",0.00674375,0.049942067046961
"20409","ZNF81",0.006765,0.049942067046961
"17677","TBC1D10C",0.00677866666666667,0.049942067046961
"17551","SYT1",0.006796875,0.049942067046961
"15832","SFI1",0.00681285714285714,0.049942067046961
"18556","TRAF3IP3",0.00682733333333333,0.049942067046961
"12962","PBX1",0.006881,0.049942067046961
"18394","TNFRSF17",0.00689538461538461,0.049942067046961
"5777","EZH1",0.0069,0.049942067046961
"10806","METTL2A",0.006923,0.049942067046961
"13148","PDIA3",0.00693,0.049942067046961
"15913","SH2D3C",0.00693333333333333,0.049942067046961
"15890","SGK2",0.00694064516129032,0.049942067046961
"6666","FTH1",0.00694181818181818,0.049942067046961
"9110","KLHL14",0.00695047619047619,0.049942067046961
"665","ANKRD1",0.00696935483870968,0.049942067046961
"9075","KLC2",0.00700252873563218,0.049942067046961
"8897","KIAA0240",0.007029,0.049942067046961
"11398","MYL1",0.007029375,0.049942067046961
"5758","EXOSC2",0.00702938775510204,0.049942067046961
"13151","PDIA6",0.00705483870967742,0.049942067046961
"14675","RBBP9",0.00707565217391304,0.049942067046961
"3741","CHTF8",0.00707969230769231,0.049942067046961
"9093","KLF8",0.007090375,0.049942067046961
"9102","KLHDC7B",0.00710909090909091,0.049942067046961
"12804","P2RY14",0.00715461538461538,0.049942067046961
"3652","CHD4",0.00716692307692308,0.049942067046961
"18050","TLR9",0.00717391304347826,0.049942067046961
"16192","SLC25A41",0.00717428571428571,0.049942067046961
"8115","HSPA5",0.00719285714285714,0.049942067046961
"7337","GPR81",0.00719420454545455,0.049942067046961
"11895","NLRC3",0.00719666666666667,0.049942067046961
"17121","SPINK6",0.00722297872340425,0.049942067046961
"9717","LOC100170939",0.00722727272727273,0.049942067046961
"19885","ZFY",0.00723130434782609,0.049942067046961
"17607","TAF6L",0.007285,0.049942067046961
"14297","PTGER3",0.0073125,0.049942067046961
"11042","MORF4L2",0.00732881355932203,0.049942067046961
"5994","FAM193B",0.00733090909090909,0.049942067046961
"3404","CDCP1",0.00737473684210526,0.049942067046961
"20166","ZNF491",0.007387,0.049942067046961
"12055","NR2C2",0.00741466666666667,0.049942067046961
"371","AFF3",0.0074195,0.049942067046961
"17357","STK11IP",0.00744078947368421,0.049942067046961
"6377","FGFR2",0.00744625,0.049942067046961
"14848","RFX1",0.0074784,0.049942067046961
"14533","RABIF",0.0075,0.049942067046961
"16245","SLC30A5",0.00751413793103448,0.049942067046961
"3178","CCDC96",0.00752926829268293,0.049942067046961
"17683","TBC1D17",0.00756847457627119,0.049942067046961
"10825","MFAP4",0.007605,0.049942067046961
"9391","LASP1",0.00762125,0.049942067046961
"3589","CERK",0.007644,0.049942067046961
"8287","IGF2BP2",0.00764785714285714,0.049942067046961
"17163","SPRR3",0.00767,0.049942067046961
"712","ANKS1B",0.00771096774193548,0.049942067046961
"15373","RUFY3",0.00771411764705882,0.049942067046961
"10291","LRRC4B",0.00771875,0.049942067046961
"6598","FOXN1",0.00781818181818182,0.049942067046961
"8916","KIAA0556",0.00784,0.049942067046961
"10116","LOC728643",0.00785115384615385,0.049942067046961
"11184","MRPS5",0.0079041975308642,0.049942067046961
"7150","GNMT",0.00790740740740741,0.049942067046961
"10514","MANBAL",0.00791857142857143,0.049942067046961
"7381","GRAPL",0.00794246153846154,0.049942067046961
"5243","DUSP1",0.00795166666666667,0.049942067046961
"13054","PCID2",0.00796046511627907,0.049942067046961
"10754","MED6",0.00797785714285714,0.049942067046961
"6535","FMOD",0.00799157894736842,0.049942067046961
"14352","PTPRCAP",0.0080008,0.049942067046961
"4131","CPAMD8",0.00803025,0.049942067046961
"6448","FLJ13197",0.00804714285714286,0.049942067046961
"5120","DOLK",0.00806794871794872,0.049942067046961
"6590","FOXJ1",0.0080890625,0.049942067046961
"3830","CLEC16A",0.0081,0.049942067046961
"20323","ZNF692",0.008144375,0.049942067046961
"6458","FLJ30679",0.00816166666666667,0.049942067046961
"2103","C1GALT1C1",0.00818291666666667,0.049942067046961
"11717","NDUFS8",0.008186375,0.049942067046961
"717","ANLN",0.00821333333333333,0.049942067046961
"16269","SLC35D2",0.00822,0.049942067046961
"538","ALG5",0.0082225,0.049942067046961
